EmprestimoID,UsuarioID,LivroID,Data_Emprestimo,Data_Devolucao
1,100,57,2023-03-15 18:50:07.012558,2023-01-27 18:50:07.030900
2,89,59,2023-07-30 18:50:07.012574,2023-08-24 18:50:07.030903
3,94,95,2023-03-27 18:50:07.012579,2023-02-14 18:50:07.030907
4,11,74,2023-08-05 18:50:07.012583,2023-09-19 18:50:07.030910
5,53,37,2023-01-30 18:50:07.012586,2023-06-05 18:50:07.030914
6,89,33,2022-11-01 18:50:07.012590,2023-02-22 18:50:07.030917
7,86,59,2023-07-04 18:50:07.012594,2022-12-26 18:50:07.030921
8,34,85,2023-04-04 18:50:07.012598,2022-12-30 18:50:07.030925
9,50,60,2023-05-31 18:50:07.012601,2022-11-02 18:50:07.030928
10,49,37,2023-09-16 18:50:07.012604,2023-07-19 18:50:07.030932
11,51,77,2022-11-02 18:50:07.012608,2023-07-31 18:50:07.030943
12,86,21,2023-07-28 18:50:07.012612,2022-10-31 18:50:07.030946
13,81,86,2023-05-11 18:50:07.012615,2023-02-20 18:50:07.030950
14,28,6,2023-03-08 18:50:07.012619,2023-01-04 18:50:07.030953
15,24,45,2022-11-09 18:50:07.012622,2022-11-15 18:50:07.030957
16,56,5,2023-04-19 18:50:07.012625,2023-03-28 18:50:07.030960
17,56,28,2023-02-09 18:50:07.012629,2022-09-26 18:50:07.030964
18,29,14,2023-02-02 18:50:07.012632,2023-09-06 18:50:07.030968
19,86,72,2023-05-12 18:50:07.012636,2023-07-15 18:50:07.030972
20,91,98,2023-06-25 18:50:07.012639,2023-05-09 18:50:07.030975
21,95,23,2023-03-12 18:50:07.012643,2022-10-19 18:50:07.030978
22,11,62,2023-07-03 18:50:07.012646,2023-05-30 18:50:07.030982
23,66,31,2023-07-16 18:50:07.012650,2022-11-20 18:50:07.030986
24,70,49,2023-02-28 18:50:07.012653,2023-08-17 18:50:07.030989
25,18,75,2023-02-03 18:50:07.012657,2022-10-18 18:50:07.030993
26,77,97,2023-01-04 18:50:07.012661,2022-12-13 18:50:07.030997
27,57,85,2023-08-05 18:50:07.012664,2023-08-18 18:50:07.031000
28,65,86,2023-05-20 18:50:07.012667,2022-10-16 18:50:07.031003
29,83,23,2023-04-07 18:50:07.012671,2022-12-14 18:50:07.031007
30,100,14,2022-12-15 18:50:07.012674,2023-08-21 18:50:07.031010
31,59,78,2022-11-07 18:50:07.012678,2023-01-15 18:50:07.031014
32,49,95,2022-10-07 18:50:07.012681,2023-02-18 18:50:07.031018
33,70,13,2023-06-16 18:50:07.012685,2023-08-02 18:50:07.031021
34,90,89,2023-07-13 18:50:07.012688,2022-12-26 18:50:07.031025
35,20,55,2023-09-17 18:50:07.012692,2023-03-31 18:50:07.031028
36,38,93,2023-06-02 18:50:07.012695,2022-10-16 18:50:07.031031
37,48,98,2023-02-06 18:50:07.012699,2023-08-05 18:50:07.031035
38,67,62,2023-07-06 18:50:07.012702,2023-09-16 18:50:07.031038
39,82,92,2023-03-26 18:50:07.012706,2023-04-20 18:50:07.031042
40,39,95,2023-09-24 18:50:07.012709,2022-11-07 18:50:07.031045
41,65,60,2023-03-03 18:50:07.012713,2023-07-04 18:50:07.031049
42,41,11,2022-12-20 18:50:07.012717,2023-01-20 18:50:07.031052
43,12,4,2022-10-18 18:50:07.012720,2022-10-05 18:50:07.031056
44,51,68,2023-06-09 18:50:07.012724,2023-01-22 18:50:07.031060
45,56,51,2023-02-25 18:50:07.012727,2023-06-14 18:50:07.031063
46,24,51,2023-07-10 18:50:07.012731,2023-04-26 18:50:07.031066
47,55,74,2023-09-10 18:50:07.012734,2022-12-23 18:50:07.031070
48,29,98,2022-11-26 18:50:07.012738,2023-07-03 18:50:07.031073
49,44,36,2023-01-23 18:50:07.012741,2023-07-20 18:50:07.031077
50,57,58,2023-07-16 18:50:07.012745,2023-07-09 18:50:07.031080
