tb_aluno_id,tb_aluno_tb_curso,tb_disciplina_id
1,2,6
1,2,10
1,2,8
1,2,7
2,4,17
2,4,16
2,4,19
3,6,30
3,6,27
3,6,29
4,6,27
4,6,26
4,6,28
5,2,7
5,2,6
5,2,8
5,2,10
5,2,9
6,2,9
6,2,7
6,2,10
6,2,6
6,2,8
7,4,20
7,4,16
7,4,18
7,4,17
7,4,19
8,4,19
8,4,16
8,4,17
8,4,18
8,4,20
9,4,19
9,4,17
9,4,16
9,4,18
10,4,18
10,4,17
10,4,16
11,2,6
11,2,10
11,2,7
11,2,9
12,2,6
12,2,9
12,2,10
12,2,7
13,1,3
13,1,1
13,1,5
13,1,2
13,1,4
14,4,17
14,4,19
14,4,16
15,6,28
15,6,26
15,6,29
15,6,30
15,6,27
16,5,23
16,5,25
16,5,22
16,5,24
16,5,21
17,6,29
17,6,27
17,6,28
17,6,30
17,6,26
18,1,4
18,1,1
18,1,3
18,1,5
19,4,19
19,4,20
19,4,16
19,4,18
20,4,19
20,4,16
20,4,18
20,4,17
21,3,14
21,3,12
21,3,13
22,6,29
22,6,26
22,6,30
22,6,27
23,4,19
23,4,17
23,4,16
23,4,20
24,1,4
24,1,2
24,1,5
24,1,1
25,4,20
25,4,19
25,4,18
26,1,1
26,1,2
26,1,3
26,1,5
27,2,8
27,2,9
27,2,6
28,5,23
28,5,24
28,5,22
28,5,21
29,3,14
29,3,12
29,3,13
29,3,11
30,1,3
30,1,1
30,1,4
31,2,9
31,2,6
31,2,8
31,2,7
32,4,16
32,4,18
32,4,20
33,1,5
33,1,2
33,1,1
33,1,4
34,3,14
34,3,12
34,3,15
34,3,13
34,3,11
35,5,23
35,5,24
35,5,22
36,3,15
36,3,14
36,3,13
36,3,12
37,2,7
37,2,9
37,2,8
38,5,22
38,5,21
38,5,24
38,5,25
38,5,23
39,5,25
39,5,22
39,5,24
39,5,21
40,3,11
40,3,13
40,3,14
40,3,15
40,3,12
41,2,10
41,2,6
41,2,8
41,2,9
41,2,7
42,6,29
42,6,28
42,6,30
43,3,13
43,3,11
43,3,14
44,1,1
44,1,4
44,1,3
44,1,5
45,6,26
45,6,30
45,6,28
45,6,27
45,6,29
46,1,5
46,1,2
46,1,4
47,6,26
47,6,27
47,6,30
47,6,28
48,4,16
48,4,19
48,4,18
48,4,17
48,4,20
49,6,28
