id,dt_avaliacao,tb_candidato_id,tb_equipe_admissoes_id,tb_tipo_avaliacao_id
1,2022-11-14,1,6,2
2,2018-11-13,2,2,3
3,2021-03-30,3,1,3
4,2021-12-02,4,3,4
5,2019-12-16,5,2,4
6,2020-11-10,6,5,4
7,2023-03-28,7,9,3
8,2023-04-16,8,1,1
9,2023-09-04,9,5,2
10,2021-11-01,10,1,1
11,2022-04-25,11,8,4
12,2020-03-11,12,9,4
13,2020-01-05,13,4,4
14,2021-09-11,14,3,2
15,2023-07-24,15,10,4
16,2022-06-17,16,9,4
17,2022-06-16,17,9,2
18,2019-05-05,18,3,3
19,2021-08-13,19,10,1
20,2023-11-08,20,8,1
21,2023-03-06,21,7,4
22,2022-06-03,22,1,3
23,2022-08-29,23,10,1
24,2023-07-03,24,5,4
25,2022-08-05,25,1,1
26,2021-04-13,26,1,4
27,2021-05-06,27,3,2
28,2020-03-28,28,9,2
29,2020-01-27,29,6,2
30,2023-02-11,30,6,3
31,2021-10-12,31,3,3
32,2023-03-25,32,8,4
33,2021-09-05,33,5,3
34,2021-04-04,34,8,3
35,2023-07-12,35,2,4
36,2021-10-21,36,1,3
37,2022-06-28,37,7,2
38,2022-01-11,38,1,4
39,2021-08-14,39,5,2
40,2021-04-18,40,9,1
41,2020-05-20,41,5,3
42,2023-03-04,42,10,4
43,2019-12-13,43,6,1
44,2021-06-07,44,1,2
45,2019-11-24,45,1,4
46,2019-08-08,46,8,3
47,2022-07-19,47,3,3
48,2021-09-07,48,3,3
49,2019-01-13,49,5,4
50,2020-01-23,50,9,4
51,2018-12-13,51,1,2
52,2019-03-21,52,3,1
53,2019-04-03,53,9,2
54,2020-04-01,54,3,2
55,2021-07-08,55,5,1
56,2022-01-19,56,1,2
57,2020-11-01,57,7,3
58,2023-10-25,58,9,1
59,2020-11-17,59,9,4
60,2019-06-16,60,5,3
61,2020-12-06,61,10,1
62,2019-12-18,62,5,2
63,2019-10-25,63,3,2
64,2021-07-27,64,9,3
65,2021-07-08,65,1,2
66,2019-05-23,66,4,3
67,2020-08-25,67,6,1
68,2018-12-15,68,5,2
69,2021-09-09,69,5,2
70,2021-09-16,70,2,4
71,2023-01-05,71,7,4
72,2019-02-13,72,4,4
73,2023-05-06,73,6,1
74,2020-08-09,74,2,3
75,2022-06-28,75,8,3
76,2023-07-13,76,4,1
77,2020-05-27,77,2,1
78,2019-09-17,78,5,4
79,2021-04-23,79,5,2
80,2021-06-27,80,4,4
